TIF Number,TIF Name,Time Period,Type,Description,Amount,Designation Date,Expiration Date
T-034,North Branch (South),Fund / Project Balances,Current Obligations,Bridge - Division/N Branch Canal,-41600,02/05/1998,02/05/2021
T-005,60th and Western,Fund / Project Balances,Fund Balance,FY'17 year-end balance,1621400,05/09/1996,05/09/2019
T-074,Clark Street and Ridge Avenue,Fund / Project Balances,Current Obligations,Professional services,-17300,09/29/1999,09/29/2022
T-149,Stevenson/Brighton,2024,Current Obligations,RA - Pulaski Promenade - Notes (In-PIN - not generating),-900000,04/11/2007,12/31/2031
T-167,Avondale,2029,Revenue,Property tax,177500,07/29/2009,12/31/2033
T-118,47th/King Drive,2018,Current Obligations,Retail Thrive Zone - program admin,-10000,03/27/2002,12/31/2026
T-064,Northwest Industrial Corridor,2018,Current Obligations,Professional services,1500,12/02/1998,12/31/2022
T-115,Chicago/Central Park,2018,Current Obligations,MSAC DS - Westinghouse - TIF share,-7035300,02/27/2002,12/31/2026
T-109,Lawrence/Broadway,Fund / Project Balances,Current Obligations,"Streetscape - Broadway, Leland to Gunnison",-1677600,06/27/2001,12/31/2025
T-150,Addison South,Fund / Project Balances,Fund Balance,Revenue recognition adjustment,-435300,05/09/2007,12/31/2031
T-096,Cicero/Archer,2020,Revenue,Property tax,849200,05/17/2000,12/31/2024
T-108,Humboldt Park Commercial,2018,Current Obligations,Delegate Agencies,-4700,06/27/2001,12/31/2025
T-128,Commercial Avenue,Fund / Project Balances,Fund Balance,Revenue recognition adjustment,-175400,11/13/2002,12/31/2026
T-127,87th/Cottage Grove,2020,Proposed Projects,Lighting - Smart infrastructure,-400000,11/13/2002,12/31/2026
T-057,Jefferson Park Business District,2018,Current Obligations,"Alley reconstruction - Milwaukee, Giddings, Lawrence, and Laramie",-410000,09/09/1998,09/09/2021
T-001,35th/Halsted,2018,Current Obligations,Ramova Theater - building repairs,64200,01/14/1997,12/31/2021
T-127,87th/Cottage Grove,Fund / Project Balances,Current Obligations,Library - Whitney Young,-149100,11/13/2002,12/31/2026
T-116,Lawrence/Pulaski,2018,Current Obligations,Diagonal parking - Keystone/Elston,5200,02/27/2002,12/31/2026
T-116,Lawrence/Pulaski,2025,Current Obligations,Program administration,-56500,02/27/2002,12/31/2026
T-129,Diversey/Narragansett,2025,Current Obligations,Program administration,-78800,02/05/2003,12/31/2027
T-081,Belmont/Central,Fund / Project Balances,Current Obligations,Pedestrian countdown signals - Belmont/Central,-16600,01/12/2000,12/31/2024
T-172,Randolph/Wells,2022,Current Obligations,Program administration,-13400,06/09/2010,12/31/2034
T-033,North Branch (North),Fund / Project Balances,Current Obligations,Bridge repairs - Cortland / Chicago River,-227700,07/02/1997,12/31/2021
T-147,LaSalle Central,2028,Current Obligations,Program administration,-4145500,11/15/2006,12/31/2030
T-094,Chicago/Kingsbury,2019,Fund Balance,Surplus TIF funds,-42043000,04/12/2000,12/31/2024
T-100,Ohio/Wabash,2021,Current Obligations,Program administration,-34100,06/07/2000,12/31/2024
T-177,Foster/California,2019,Proposed Projects,CPS IGA - Budlong - doors / A/C / heating / parking lot surface coat,-540000,03/05/2014,12/31/2038
T-142,Western Avenue/Rock Island,2018,Current Obligations,Traffic signal - 118th/Western,1100,02/08/2006,12/31/2030
T-177,Foster/California,2033,Revenue,Property tax,552000,03/05/2014,12/31/2038
T-098,63rd/Pulaski,2021,Transfers Between TIF Districts,To 51st/Archer (MSAC DS - Hernandez MS),-526100,05/17/2000,12/31/2024
T-028,Lincoln-Belmont-Ashland,2018,Current Obligations,Streetscape,-995000,11/02/1994,12/31/2018
T-063,Canal/Congress,2021,Proposed Projects,Lighting - Smart infrastructure,-400000,11/12/1998,12/31/2022
T-150,Addison South,Fund / Project Balances,Current Obligations,RA - Coyote Logistics,-261600,05/09/2007,12/31/2031
T-149,Stevenson/Brighton,2018,Current Obligations,Alley construction - 36th/Washtenaw,15000,04/11/2007,12/31/2031
T-180,Red Purple Transit,2039,Revenue,Property tax,57106700,11/20/2016,12/31/2052
T-133,83rd/Stewart,Fund / Project Balances,Current Obligations,Professional services,-5800,03/31/2004,12/31/2028
T-169,Ewing Avenue,2024,Current Obligations,Program administration,-12700,03/10/2010,12/31/2034
T-127,87th/Cottage Grove,Fund / Project Balances,Current Obligations,"Streetscape - Cottage Grove, 77th to 87th - Phase 1",-648400,11/13/2002,12/31/2026
T-085,Western Avenue South,2018,Current Obligations,Park District IGA - Revere Park fieldhouse,-1000000,01/12/2000,12/31/2024
T-129,Diversey/Narragansett,2024,Current Obligations,Program administration,-74000,02/05/2003,12/31/2027
T-067,Archer Courts,2019,Current Obligations,Program administration,-9600,05/12/1999,12/31/2023
T-156,Austin Commercial,2028,Revenue,Property tax,1924900,09/27/2007,12/31/2031
T-090,Peterson/Cicero,2020,Revenue,Property tax,522100,02/16/2000,12/31/2024
T-027,Irving/Cicero,2020,Revenue,Property tax,963700,06/10/1996,12/31/2020
T-175,51st/Lake Park,2026,Current Obligations,RA - City Hyde Park,-1177000,11/15/2012,12/31/2036
T-128,Commercial Avenue,2019,Proposed Projects,Pedestrian Refuge Island - 91st & S Chicago,-40000,11/13/2002,12/31/2026
T-088,Lawrence/Kedzie,2019,Current Obligations,Small Business Improvement Fund,-750000,02/16/2000,12/31/2024
T-099,Archer/Central,2021,Revenue,Property tax,613900,05/17/2000,12/31/2024
T-001,35th/Halsted,2019,Transfers Between TIF Districts,To Archer/Western (McGuane Park),-2500000,01/14/1997,12/31/2021
T-108,Humboldt Park Commercial,Fund / Project Balances,Current Obligations,Lighting - North Av,-63400,06/27/2001,12/31/2025
T-153,Elston/Armstrong Industrial Corridor,2029,Revenue,Tax rate increase surplus revenue,-45700,07/19/2007,12/31/2031
T-150,Addison South,2030,Current Obligations,Program administration,-268500,05/09/2007,12/31/2031
T-139,Ravenswood Corridor,2018,Current Obligations,Program administration,-22400,03/09/2005,12/31/2029
T-110,Wilson Yard,2018,Current Obligations,Professional services,8300,06/27/2001,12/31/2025
T-116,Lawrence/Pulaski,2020,Revenue,Tax rate increase surplus revenue,-136100,02/27/2002,12/31/2026
T-021,Englewood Mall,2019,Current Obligations,Retail Thrive Zone - economic development,-190000,11/29/1989,12/31/2025
T-128,Commercial Avenue,Fund / Project Balances,Current Obligations,"Diagonal parking - Commercial, 99th to 100th",-10800,11/13/2002,12/31/2026
T-088,Lawrence/Kedzie,2018,Current Obligations,Traffic signal - Ainslie/Kedzie,2100,02/16/2000,12/31/2024
T-164,Little Village East,2018,Current Obligations,Professional services,9400,04/22/2009,12/31/2033
T-048,Western/Ogden,2018,Current Obligations,Ward 28 - street resurfacing / sidewalk repairs,-225000,02/05/1998,02/05/2021
T-086,Central West,2019,Current Obligations,CPS IGA - Whitney Young HS - athletic field,-2150000,02/16/2000,12/31/2024
T-121,47th/Halsted,2021,Current Obligations,Program administration,-60300,05/29/2002,12/31/2026
T-118,47th/King Drive,Fund / Project Balances,Current Obligations,Retail Thrive Zone - infrastructure,-137600,03/27/2002,12/31/2026
T-037,River South,Fund / Project Balances,Current Obligations,CPS IGA - South Loop ES - construction,-100000,07/30/1997,12/31/2021
T-156,Austin Commercial,2018,Current Obligations,Alley construction - 5100 W Division,70700,09/27/2007,12/31/2031
T-157,Hollywood/Sheridan,2024,Current Obligations,RA - Hollywood House,-575800,11/07/2007,12/31/2031
T-086,Central West,Fund / Project Balances,Current Obligations,Police Academy repairs,-868300,02/16/2000,12/31/2024
T-053,Pilsen Industrial Corridor,2018,Current Obligations,Program administration,-245100,06/10/1998,12/31/2022
T-152,Little Village Industrial Corridor,2027,Current Obligations,Program administration,-11500,06/13/2007,12/31/2031
T-082,Belmont/Cicero,Fund / Project Balances,Fund Balance,Surplus TIF funds,-272600,01/12/2000,12/31/2024
T-071,Galewood/Armitage Industrial,Fund / Project Balances,Current Obligations,Park District IGA - Amundsen Park field turf,-336900,07/07/1999,12/31/2023
T-077,Lincoln Avenue,Fund / Project Balances,Current Obligations,Bike bridge - Lincoln Av over Chicago River N Branch,-746500,11/03/1999,12/31/2023
T-175,51st/Lake Park,2031,Current Obligations,Program administration,-72300,11/15/2012,12/31/2036
T-126,Madden/Wells,2019,Current Obligations,RA - Phase 2C taxable small note pmts,-210000,11/06/2002,12/31/2026
T-165,Irving Park/Elston,2018,Current Obligations,Program administration,-2600,05/13/2009,12/31/2033
T-058,Portage Park,2018,Current Obligations,Delegate Agencies,-800,09/09/1998,09/09/2021
T-115,Chicago/Central Park,2024,Revenue,Property tax,7431700,02/27/2002,12/31/2026
T-115,Chicago/Central Park,2018,Current Obligations,RA - Nelson Mandela Apts,-738900,02/27/2002,12/31/2026
T-114,119th and Halsted,Fund / Project Balances,Current Obligations,Retail Thrive Zone - infrastructure,-30000,02/06/2002,12/31/2026
T-178,Washington Park,2024,Revenue,Property tax,1205500,10/08/2014,12/31/2038
T-118,47th/King Drive,Fund / Project Balances,Current Obligations,Neighborhood Improvement Program,-523100,03/27/2002,12/31/2026
T-086,Central West,2019,Current Obligations,RA - Rush University Medical Center,-7500000,02/16/2000,12/31/2024
T-037,River South,Fund / Project Balances,Current Obligations,"Utilities - VanBuren, Franklin to Wells",-111100,07/30/1997,12/31/2021
T-053,Pilsen Industrial Corridor,2018,Current Obligations,Pre-acquisition costs,2600,06/10/1998,12/31/2022
T-029,Michigan/Cermak,2020,Revenue,Property tax,1834700,09/13/1989,12/31/2025
T-001,35th/Halsted,Fund / Project Balances,Current Obligations,Environmental remediation,-6200,01/14/1997,12/31/2021
T-065,Woodlawn,2019,Proposed Transfers,To West Woodlawn (Proposed redevelopment project),-1000000,01/20/1999,01/20/2022
T-167,Avondale,2022,Revenue,Property tax,118500,07/29/2009,12/31/2033
T-114,119th and Halsted,2020,Revenue,Property tax,1491100,02/06/2002,12/31/2026
T-055,43rd/Cottage Grove,2020,Current Obligations,RA - Hearts United III LP,-52600,07/08/1998,12/31/2022
T-036,Read-Dunning,2018,Fund Balance,Surplus TIF funds,-4500000,01/11/1991,12/31/2027
T-052,Kinzie Industrial Corridor,Fund / Project Balances,Current Obligations,"Resurfacing - Fulton, Racine to Ogden",-148800,06/10/1998,12/31/2022
T-063,Canal/Congress,Fund / Project Balances,Current Obligations,Protected Bikeways Program,-19600,11/12/1998,12/31/2022
T-167,Avondale,2018,Current Obligations,Professional services,6800,07/29/2009,12/31/2033
T-156,Austin Commercial,Fund / Project Balances,Current Obligations,Sidewalk replacement - 5512 W North Av,-800,09/27/2007,12/31/2031
T-091,Peterson/Pulaski,2019,Proposed Projects,TIF Works,-500000,02/16/2000,12/31/2024
T-083,West Irving Park,Fund / Project Balances,Current Obligations,Pedestrian refuge island,-42100,01/12/2000,12/31/2024
T-131,35th/State,2027,Revenue,Tax rate increase surplus revenue,-260000,01/14/2004,12/31/2028
T-142,Western Avenue/Rock Island,2026,Revenue,Property tax,2034500,02/08/2006,12/31/2030
T-052,Kinzie Industrial Corridor,2018,Current Obligations,Local Industrial Retention Initiative,-11600,06/10/1998,12/31/2022
T-156,Austin Commercial,2029,Revenue,Tax rate increase surplus revenue,-101000,09/27/2007,12/31/2031
T-165,Irving Park/Elston,2018,Current Obligations,Professional services,6700,05/13/2009,12/31/2033
T-101,Jefferson/Roosevelt,Fund / Project Balances,Current Obligations,Viaduct improvement - Peoria St,-688700,08/30/2000,12/31/2024
T-106,Englewood Neighborhood,2018,Current Obligations,Professional services,26100,06/27/2001,12/31/2025
T-135,Pratt/Ridge Industrial Park Conservation Area,2028,Revenue,Property tax,678700,06/23/2004,12/31/2028
T-180,Red Purple Transit,2022,Current Obligations,CTA IGA Red Purple Modernization,-26493000,11/20/2016,12/31/2052
T-037,River South,Fund / Project Balances,Current Obligations,River South alley reconstruction,-386000,07/30/1997,12/31/2021
T-112,79th Street/Southwest Highway,2018,Current Obligations,Local Industrial Retention Initiative,-1300,10/03/2001,12/31/2025
T-089,Midway Industrial Corridor,Fund / Project Balances,Current Obligations,TIF Works,-181000,02/16/2000,12/31/2024
T-053,Pilsen Industrial Corridor,Fund / Project Balances,Current Obligations,Traffic Signal - Leavitt & Blue Island,-27700,06/10/1998,12/31/2022
T-009,95th and Western,Fund / Project Balances,Current Obligations,Planter repairs on 95th,-6400,07/13/1995,12/31/2019
T-141,26th and King Drive,2024,Current Obligations,RA - Mercy Hospital,-818800,01/11/2006,12/31/2030
T-082,Belmont/Cicero,2023,Current Obligations,Program administration,-30000,01/12/2000,12/31/2024
T-053,Pilsen Industrial Corridor,Fund / Project Balances,Current Obligations,Viaduct lighting - 400 W Cermak,-31700,06/10/1998,12/31/2022
T-095,Midwest,2020,Proposed Transfers,From Kinzie Ind. Corr. (RA - Calhoun School site housing project),1569200,05/17/2000,12/31/2036
T-110,Wilson Yard,2022,Current Obligations,RA - Clifton Magnolia Apts,-263300,06/27/2001,12/31/2025
T-140,79th/Cicero,2022,Current Obligations,Program administration,-13600,06/08/2005,12/31/2029
T-115,Chicago/Central Park,2020,Current Obligations,Program administration,-106700,02/27/2002,12/31/2026
T-157,Hollywood/Sheridan,2025,Revenue,Property tax,397800,11/07/2007,12/31/2031
T-063,Canal/Congress,2018,Current Obligations,Program administration,-452200,11/12/1998,12/31/2022
T-076,Devon/Western,Fund / Project Balances,Current Obligations,"Streetscape - Devon (Sec.2), California to Rockwell",-5500,11/03/1999,12/31/2023
T-140,79th/Cicero,2028,Current Obligations,RA - Scottsdale Shopping Center Note 1A,-552400,06/08/2005,12/31/2029
T-177,Foster/California,Fund / Project Balances,Fund Balance,Revenue recognition adjustment,-1500,03/05/2014,12/31/2038
T-081,Belmont/Central,2018,Transfers Between TIF Districts,To Galewood/Armitage (MSAC DS - Prieto Elementary),-2050000,01/12/2000,12/31/2024
T-079,35th and Wallace,2023,Revenue,Tax rate increase surplus revenue,-199400,12/15/1999,12/31/2023
T-095,Midwest,2019,Transfers Between TIF Districts,To Chicago/Central Park (MSAC DS - Raby Horticultural),-1219500,05/17/2000,12/31/2036
T-052,Kinzie Industrial Corridor,Fund / Project Balances,Current Obligations,"Sidewalk - Ada St, Lake to Fulton",-32300,06/10/1998,12/31/2022
T-172,Randolph/Wells,2020,Current Obligations,RA - Randolph Tower,-522900,06/09/2010,12/31/2034
T-088,Lawrence/Kedzie,Fund / Project Balances,Current Obligations,Program administration,-9100,02/16/2000,12/31/2024
T-086,Central West,Fund / Project Balances,Current Obligations,Park District IGA - Starr Park,-97000,02/16/2000,12/31/2024
T-083,West Irving Park,Fund / Project Balances,Current Obligations,"Sidewalk/curb/gutter - Central, Berteau to Montrose; Long, Irving Pk to Berteau",-136600,01/12/2000,12/31/2024
T-176,107th/Halsted,2019,Current Obligations,Retail Thrive Zone - infrastructure,-299200,03/05/2014,12/31/2038
T-033,North Branch (North),2018,Current Obligations,North Branch Transportation Study,-330000,07/02/1997,12/31/2021
T-048,Western/Ogden,2019,Proposed Projects,Street resurfacing - Cullerton/Floumoy/Washbume,-250200,02/05/1998,02/05/2021
T-095,Midwest,Fund / Project Balances,Current Obligations,Program administration,-9100,05/17/2000,12/31/2036
T-147,LaSalle Central,Fund / Project Balances,Current Obligations,RA - DeVry,-200000,11/15/2006,12/31/2030
T-082,Belmont/Cicero,Fund / Project Balances,Current Obligations,Program administration,-9100,01/12/2000,12/31/2024
T-150,Addison South,2019,Current Obligations,RA - Green Exchange Note R-1 pmts,-670100,05/09/2007,12/31/2031
T-105,53rd Street,2024,Current Obligations,RA - Smart Hotels,-64800,01/10/2001,12/31/2025
T-053,Pilsen Industrial Corridor,Fund / Project Balances,Current Obligations,Sangamon Paseo - Phase I - acquisition/construction,-1076600,06/10/1998,12/31/2022
T-095,Midwest,2019,Proposed Projects,Concentrated stormwater landscapes,-500000,05/17/2000,12/31/2036
T-144,Harrison/Central,2019,Current Obligations,RA - Loretto Hospital,-288000,07/26/2006,12/31/2030
T-004,49th Street/St. Lawrence Avenue,Fund / Project Balances,Fund Balance,Surplus TIF funds,-127100,01/10/1996,12/31/2020
T-065,Woodlawn,2019,Transfers Between TIF Districts,To West Woodlawn (SBIF),-250000,01/20/1999,01/20/2022
T-095,Midwest,Fund / Project Balances,Current Obligations,"Viaduct closure - Rockwell/Adams, Rockwell/Wilcox",-65900,05/17/2000,12/31/2036
T-118,47th/King Drive,2018,Transfers Between TIF Districts,To Bronzeville (Williams Park),-3000000,03/27/2002,12/31/2026
T-021,Englewood Mall,2019,Revenue,Property tax,875200,11/29/1989,12/31/2025
T-082,Belmont/Cicero,2021,Current Obligations,Program administration,-23100,01/12/2000,12/31/2024
T-053,Pilsen Industrial Corridor,2020,Current Obligations,Program administration,-256100,06/10/1998,12/31/2022
T-125,119th/I-57,2024,Revenue,Tax rate increase surplus revenue,-358200,11/06/2002,12/31/2026
T-118,47th/King Drive,2022,Revenue,Tax rate increase surplus revenue,-699400,03/27/2002,12/31/2026
T-053,Pilsen Industrial Corridor,2019,Proposed Projects,Juarez HS - soccer/football field,-1000000,06/10/1998,12/31/2022
T-067,Archer Courts,2018,Current Obligations,Stamped crosswalks - Archer & Wentworth,2500,05/12/1999,12/31/2023
T-111,105th/Vincennes,2025,Transfers Between TIF Districts,From 119th/I-57 (RA - Renaissance Beverly Ridge),30000,10/03/2001,12/31/2025
T-108,Humboldt Park Commercial,Fund / Project Balances,Current Obligations,TIF Works,-76400,06/27/2001,12/31/2025
T-143,63rd/Ashland,2018,Current Obligations,"Resurfacing - 56th, Ashland to Justine",10200,03/29/2006,12/31/2030
T-055,43rd/Cottage Grove,Fund / Project Balances,Current Obligations,RA - Shops & Lofts at 47th (Commercial),-159400,07/08/1998,12/31/2022
T-084,Western Avenue North,2019,Transfers Between TIF Districts,From Western Ave. South (Streetscape - Lawrence Av),2850000,01/12/2000,12/31/2024
T-150,Addison South,2020,Revenue,Property tax,4554700,05/09/2007,12/31/2031
T-110,Wilson Yard,2020,Current Obligations,RA - 4400 N Broadway,-4989500,06/27/2001,12/31/2025
T-029,Michigan/Cermak,2025,Revenue,Property tax,1970000,09/13/1989,12/31/2025
T-172,Randolph/Wells,2028,Current Obligations,RA - Randolph Tower,-615900,06/09/2010,12/31/2034
T-124,67th/Cicero,2020,Current Obligations,Program administration,-7000,10/02/2002,12/31/2026
T-009,95th and Western,2019,Current Obligations,Program administration,-19200,07/13/1995,12/31/2019
T-072,24th/Michigan,Fund / Project Balances,Current Obligations,"Resurfacing - State, 2250 to 25th",-26300,07/21/1999,07/21/2022
T-030,Near North,Fund / Project Balances,Current Obligations,Bridge - N Halsted,-4518400,07/30/1997,07/30/2020
T-052,Kinzie Industrial Corridor,2018,Current Obligations,"Arterial resurfacing - Fulton, Sacramento to California",5300,06/10/1998,12/31/2022
T-106,Englewood Neighborhood,2020,Revenue,Tax rate increase surplus revenue,-566200,06/27/2001,12/31/2025
T-122,Drexel Boulevard,2018,Current Obligations,RA - Jazz on the Boulevard,18900,07/10/2002,12/31/2026
T-136,47th/State,2022,Current Obligations,Program administration,-32200,07/21/2004,12/31/2028
T-061,Bronzeville,Fund / Project Balances,Current Obligations,Sidewalk improvements - 37th/Michigan,-600,11/04/1998,12/31/2022
T-165,Irving Park/Elston,2022,Current Obligations,Program administration,-2900,05/13/2009,12/31/2033
T-095,Midwest,2032,Revenue,Property tax,22729100,05/17/2000,12/31/2036
T-045,Stockyards Southeast Quadrant Industrial,2023,Revenue,Tax rate increase surplus revenue,-136700,02/26/1992,12/31/2028
T-117,47th/Ashland,2020,Revenue,Property tax,3042100,03/27/2002,12/31/2026
T-146,Touhy/Western,2021,Current Obligations,MSAC DS - West Ridge ES - TIF share,-536400,09/13/2006,12/31/2030
T-153,Elston/Armstrong Industrial Corridor,2025,Revenue,Tax rate increase surplus revenue,-45700,07/19/2007,12/31/2031
T-147,LaSalle Central,2019,Current Obligations,CTA IGA - Blue Line - tunnel improvements,-1500000,11/15/2006,12/31/2030
T-172,Randolph/Wells,2023,Revenue,Property tax,752600,06/09/2010,12/31/2034
T-085,Western Avenue South,2018,Current Obligations,North Center Town Square improvements,-1450000,01/12/2000,12/31/2024
T-113,Roseland/Michigan,2025,Current Obligations,Program administration,-23700,01/16/2002,12/31/2026
T-108,Humboldt Park Commercial,Fund / Project Balances,Current Obligations,RA - North & Talman Elderly,-334100,06/27/2001,12/31/2025
T-045,Stockyards Southeast Quadrant Industrial,2024,Revenue,Property tax,2013300,02/26/1992,12/31/2028
T-166,North Pullman,2024,Transfers Between TIF Districts,From Stony Island/Burnside (Gately Park),1500000,06/30/2009,12/31/2033
T-087,Fullerton/Milwaukee,2020,Revenue,Property tax,9880200,02/16/2000,12/31/2024
T-110,Wilson Yard,2022,Revenue,Tax rate increase surplus revenue,-748800,06/27/2001,12/31/2025
T-180,Red Purple Transit,2042,Current Obligations,CTA IGA Red Purple Modernization,-61608000,11/20/2016,12/31/2052
T-055,43rd/Cottage Grove,2018,Current Obligations,Park District IGA - Park - 4153 S Vincennes - dog park,-600000,07/08/1998,12/31/2022
T-092,Greater Southwest Industrial Corridor (West),2019,Proposed Projects,Lighting - Smart infrastructure,-800000,04/12/2000,12/31/2024
T-127,87th/Cottage Grove,2023,Revenue,Property tax,2339600,11/13/2002,12/31/2026
T-115,Chicago/Central Park,2018,Current Obligations,MSAC DS - Westinghouse - other TIF(s),-16647700,02/27/2002,12/31/2026
T-045,Stockyards Southeast Quadrant Industrial,2019,Proposed Projects,Lighting - Smart infrastructure,-800000,02/26/1992,12/31/2028
T-065,Woodlawn,2019,Proposed Projects,Lighting - Smart infrastructure,-800000,01/20/1999,01/20/2022
T-033,North Branch (North),Fund / Project Balances,Fund Balance,Revenue recognition adjustment,-693600,07/02/1997,12/31/2021
T-115,Chicago/Central Park,2020,Proposed Projects,"Sidewalk - St Louis, Walnut to Fulton",-62400,02/27/2002,12/31/2026
T-115,Chicago/Central Park,Fund / Project Balances,Current Obligations,Lighting - multiple locations in Ward 28,-318000,02/27/2002,12/31/2026
T-112,79th Street/Southwest Highway,2021,Revenue,Property tax,1743600,10/03/2001,12/31/2025
T-052,Kinzie Industrial Corridor,Fund / Project Balances,Current Obligations,"Arterial resurfacing - Sacramento, Chicago to Carrol; Racine, Lake to Randolph",-6100,06/10/1998,12/31/2022
T-165,Irving Park/Elston,2019,Proposed Projects,Lighting - Smart infrastructure,-400000,05/13/2009,12/31/2033
T-071,Galewood/Armitage Industrial,Fund / Project Balances,Current Obligations,Professional services,-10600,07/07/1999,12/31/2023
T-100,Ohio/Wabash,2024,Revenue,Property tax,2136100,06/07/2000,12/31/2024
T-147,LaSalle Central,2018,Current Obligations,Viaduct improvements - Madison St over Union Station,1683100,11/15/2006,12/31/2030
T-139,Ravenswood Corridor,Fund / Project Balances,Current Obligations,"Resurfacing - Ravenswood, Irving to Berteau",-114300,03/09/2005,12/31/2029
T-067,Archer Courts,Fund / Project Balances,Current Obligations,Professional services,-6700,05/12/1999,12/31/2023
T-074,Clark Street and Ridge Avenue,Fund / Project Balances,Fund Balance,Revenue recognition adjustment,-241200,09/29/1999,09/29/2022
T-088,Lawrence/Kedzie,2018,Current Obligations,Neighborhood Improvement Program,252500,02/16/2000,12/31/2024
T-066,Greater Southwest Industrial Corridor (East),2023,Current Obligations,Program administration,-28100,03/10/1999,12/31/2023
T-111,105th/Vincennes,2023,Current Obligations,Program administration,-33700,10/03/2001,12/31/2025
T-069,Pulaski Corridor,2022,Revenue,Property tax,4877900,06/09/1999,12/31/2023
T-126,Madden/Wells,2026,Current Obligations,RA - Phase 1A rental interest subsidy,-107100,11/06/2002,12/31/2026
T-052,Kinzie Industrial Corridor,Fund / Project Balances,Current Obligations,Site remediation/fencing - 2527 W Lake,-777600,06/10/1998,12/31/2022
T-095,Midwest,Fund / Project Balances,Current Obligations,"Arterial resurfacing - Lake, Laramie to Kedzie",-176000,05/17/2000,12/31/2036
T-115,Chicago/Central Park,2018,Current Obligations,CPS MSAC IGA - Raby,7476300,02/27/2002,12/31/2026
T-149,Stevenson/Brighton,2028,Current Obligations,RA - Pulaski Promenade - Notes (In-PIN - not generating),-900000,04/11/2007,12/31/2031
T-071,Galewood/Armitage Industrial,2022,Transfers Between TIF Districts,From Belmont/Central (MSAC DS - Prieto Elementary),840300,07/07/1999,12/31/2023
T-108,Humboldt Park Commercial,Fund / Project Balances,Current Obligations,RA - North & Talman III LP,-33700,06/27/2001,12/31/2025
T-149,Stevenson/Brighton,2021,Current Obligations,RA - Pulaski Promenade - Notes (In-PIN - not generating),-900000,04/11/2007,12/31/2031
T-125,119th/I-57,2020,Current Obligations,RA - Renaissance Estates PayGo,-742500,11/06/2002,12/31/2026
T-123,Avalon Park/South Shore,Fund / Project Balances,Fund Balance,Revenue recognition adjustment,-35200,07/31/2002,12/31/2026
T-052,Kinzie Industrial Corridor,Fund / Project Balances,Current Obligations,Chicago Farmworks Ph II,-76800,06/10/1998,12/31/2022
T-103,Lake Calumet Area Industrial,Fund / Project Balances,Fund Balance,Revenue recognition adjustment,-52000,12/13/2000,12/31/2024
T-088,Lawrence/Kedzie,Fund / Project Balances,Current Obligations,Neighborhood Improvement Program,-252500,02/16/2000,12/31/2024
T-163,Archer/Western,2030,Current Obligations,Program administration,-40000,02/11/2009,12/31/2033
T-134,Devon/Sheridan,Fund / Project Balances,Current Obligations,Streetscape - Broadway & Sheridan,-252600,03/31/2004,12/31/2028
T-052,Kinzie Industrial Corridor,Fund / Project Balances,Current Obligations,Traffic signals - 1000/1100 W Lake,-700000,06/10/1998,12/31/2022
T-163,Archer/Western,2027,Current Obligations,Program administration,-29700,02/11/2009,12/31/2033
T-095,Midwest,2019,Current Obligations,Purchase Rehab Program - MF,-1000000,05/17/2000,12/31/2036
T-113,Roseland/Michigan,2023,Current Obligations,Program administration,-16500,01/16/2002,12/31/2026
T-166,North Pullman,2027,Current Obligations,Program administration,-85000,06/30/2009,12/31/2033
T-116,Lawrence/Pulaski,2022,Revenue,Tax rate increase surplus revenue,-136100,02/27/2002,12/31/2026
T-147,LaSalle Central,Fund / Project Balances,Current Obligations,City Hall sprinkler/chiller/security/steam pipes/courtyard roof,-6100000,11/15/2006,12/31/2030
T-139,Ravenswood Corridor,Fund / Project Balances,Current Obligations,"Lighting - Wilson, Wolcott to Hermitage",-13100,03/09/2005,12/31/2029
T-117,47th/Ashland,2021,Revenue,Property tax,3042100,03/27/2002,12/31/2026
T-156,Austin Commercial,2027,Current Obligations,Program administration,-83600,09/27/2007,12/31/2031
T-166,North Pullman,2027,Revenue,Property tax,1702300,06/30/2009,12/31/2033
T-153,Elston/Armstrong Industrial Corridor,2023,Revenue,Tax rate increase surplus revenue,-45700,07/19/2007,12/31/2031
T-149,Stevenson/Brighton,2029,Revenue,Property tax,5022500,04/11/2007,12/31/2031
T-091,Peterson/Pulaski,2022,Current Obligations,Program administration,-30300,02/16/2000,12/31/2024
T-180,Red Purple Transit,2024,Revenue,Property tax,28183300,11/20/2016,12/31/2052
T-060,71st/Stony Island,2020,Current Obligations,RA - Jeffrey Plaza - grocery,-2000000,10/07/1998,12/31/2022
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2031,Current Obligations,Program administration,-246100,06/10/1998,12/31/2034
T-043,Stockyards Annex,Fund / Project Balances,Current Obligations,Environmental assessment/remediation,-45400,12/11/1996,12/31/2020
T-126,Madden/Wells,2024,Current Obligations,RA - Phase 2C taxable small note pmts,-42000,11/06/2002,12/31/2026
T-145,73rd/University,2023,Current Obligations,Program administration,-11900,09/13/2006,12/31/2030
T-069,Pulaski Corridor,Fund / Project Balances,Current Obligations,Bloomingdale Recreational Path,-1200,06/09/1999,12/31/2023
T-166,North Pullman,2032,Current Obligations,RA - Whole Foods Distribution,-606200,06/30/2009,12/31/2033
T-133,83rd/Stewart,2019,Current Obligations,RA - Chatham Market,-1153900,03/31/2004,12/31/2028
