TIF Number,TIF Name,Time Period,Type,Description,Amount,Designation Date,Expiration Date
T-113,Roseland/Michigan,2024,Revenue,Property tax,548600,01/16/2002,12/31/2026
T-144,Harrison/Central,2024,Revenue,Property tax,489400,07/26/2006,12/31/2030
T-156,Austin Commercial,2024,Revenue,Property tax,777300,09/27/2007,12/31/2031
T-153,Elston/Armstrong Industrial Corridor,2024,Revenue,Property tax,614500,07/19/2007,12/31/2031
T-123,Avalon Park/South Shore,2024,Revenue,Property tax,487300,07/31/2002,12/31/2026
T-160,Kennedy/Kimball,2024,Revenue,Property tax,129900,03/12/2008,12/31/2032
T-096,Cicero/Archer,2024,Revenue,Property tax,778500,05/17/2000,12/31/2024
T-100,Ohio/Wabash,2024,Revenue,Property tax,1943100,06/07/2000,12/31/2024
T-115,Chicago/Central Park,2024,Revenue,Property tax,6413800,02/27/2002,12/31/2026
T-140,79th/Cicero,2024,Revenue,Property tax,580600,06/08/2005,12/31/2029
T-163,Archer/Western,2024,Revenue,Property tax,27700,02/11/2009,12/31/2033
T-136,47th/State,2024,Revenue,Property tax,1582700,07/21/2004,12/31/2028
T-129,Diversey/Narragansett,2024,Revenue,Property tax,2357600,02/05/2003,12/31/2027
T-108,Humboldt Park Commercial,2024,Revenue,Property tax,3816000,06/27/2001,12/31/2025
T-147,LaSalle Central,2024,Revenue,Property tax,51394700,11/15/2006,12/31/2030
T-122,Drexel Boulevard,2024,Revenue,Property tax,393900,07/10/2002,12/31/2026
T-097,51st/Archer,2024,Revenue,Property tax,1698400,05/17/2000,12/31/2024
T-155,79th/Vincennes,2024,Revenue,Property tax,183700,09/27/2007,12/31/2031
T-145,73rd/University,2024,Revenue,Property tax,416900,09/13/2006,12/31/2030
T-112,79th Street/Southwest Highway,2024,Revenue,Property tax,1472600,10/03/2001,12/31/2025
T-110,Wilson Yard,2024,Revenue,Property tax,8324700,06/27/2001,12/31/2025
T-135,Pratt/Ridge Industrial Park Conservation Area,2024,Revenue,Property tax,434500,06/23/2004,12/31/2028
T-117,47th/Ashland,2024,Revenue,Property tax,2734100,03/27/2002,12/31/2026
T-105,53rd Street,2024,Revenue,Property tax,4241200,01/10/2001,12/31/2025
T-126,Madden/Wells,2024,Revenue,Property tax,1323300,11/06/2002,12/31/2026
T-121,47th/Halsted,2024,Revenue,Property tax,3494200,05/29/2002,12/31/2026
T-102,Montclare,2024,Revenue,Property tax,314300,08/30/2000,12/31/2024
T-133,83rd/Stewart,2024,Revenue,Property tax,1353100,03/31/2004,12/31/2028
T-109,Lawrence/Broadway,2024,Revenue,Property tax,4085200,06/27/2001,12/31/2025
T-128,Commercial Avenue,2024,Revenue,Property tax,1291500,11/13/2002,12/31/2026
T-139,Ravenswood Corridor,2024,Revenue,Property tax,1735700,03/09/2005,12/31/2029
T-134,Devon/Sheridan,2024,Revenue,Property tax,172100,03/31/2004,12/31/2028
T-143,63rd/Ashland,2024,Revenue,Property tax,1243000,03/29/2006,12/31/2030
T-141,26th and King Drive,2024,Revenue,Property tax,852400,01/11/2006,12/31/2030
T-099,Archer/Central,2024,Revenue,Property tax,475900,05/17/2000,12/31/2024
T-124,67th/Cicero,2024,Revenue,Property tax,266700,10/02/2002,12/31/2026
T-127,87th/Cottage Grove,2024,Revenue,Property tax,2083900,11/13/2002,12/31/2026
