TIF Number,TIF Name,Time Period,Type,Description,Amount,Designation Date,Expiration Date
T-112,79th Street/Southwest Highway,2019,Current Obligations,Program administration,-27500,10/03/2001,12/31/2025
T-115,Chicago/Central Park,2019,Current Obligations,MSAC DS - Raby Horticultural,-2158500,02/27/2002,12/31/2026
T-105,53rd Street,2019,Current Obligations,Program administration,-76600,01/10/2001,12/31/2025
T-115,Chicago/Central Park,2019,Current Obligations,MSAC DS - Westinghouse - other TIF(s),-10234400,02/27/2002,12/31/2026
T-115,Chicago/Central Park,2019,Current Obligations,MSAC DS - Westinghouse - TIF share,-1262400,02/27/2002,12/31/2026
T-115,Chicago/Central Park,2019,Current Obligations,Program administration,-113900,02/27/2002,12/31/2026
T-134,Devon/Sheridan,2019,Current Obligations,RA - Loyola University,-114400,03/31/2004,12/31/2028
T-097,51st/Archer,2019,Current Obligations,Program administration,-33200,05/17/2000,12/31/2024
T-097,51st/Archer,2019,Current Obligations,MSAC DS - Hernandez MS - other TIF(s),-5593700,05/17/2000,12/31/2024
T-143,63rd/Ashland,2019,Current Obligations,Program administration,-23400,03/29/2006,12/31/2030
T-097,51st/Archer,2019,Current Obligations,MSAC DS - Hernandez - TIF share,-660200,05/17/2000,12/31/2024
T-134,Devon/Sheridan,2019,Current Obligations,Program administration,-5600,03/31/2004,12/31/2028
T-169,Ewing Avenue,2019,Current Obligations,Program administration,-8600,03/10/2010,12/31/2034
T-151,Armitage/Pulaski,2019,Current Obligations,Program administration,-5900,06/13/2007,12/31/2031
T-142,Western Avenue/Rock Island,2019,Current Obligations,Park District IGA - Morgan Park Sports Center,-1500000,02/08/2006,12/31/2030
T-111,105th/Vincennes,2019,Current Obligations,Program administration,-28200,10/03/2001,12/31/2025
T-111,105th/Vincennes,2019,Current Obligations,RA - Renaissance Beverly Ridge,-887000,10/03/2001,12/31/2025
T-100,Ohio/Wabash,2019,Current Obligations,Program administration,-2900,06/07/2000,12/31/2024
T-129,Diversey/Narragansett,2019,Current Obligations,RA - Brickyard Shopping Center Note A,-1449300,02/05/2003,12/31/2027
T-104,River West,2019,Current Obligations,RA - WaterSaver Faucet,-154000,01/10/2001,12/31/2025
T-153,Elston/Armstrong Industrial Corridor,2019,Current Obligations,Program administration,-12100,07/19/2007,12/31/2031
T-142,Western Avenue/Rock Island,2019,Current Obligations,Program administration,-19900,02/08/2006,12/31/2030
T-142,Western Avenue/Rock Island,2019,Current Obligations,RA - Buona Beef,-90000,02/08/2006,12/31/2030
T-135,Pratt/Ridge Industrial Park Conservation Area,2019,Current Obligations,RA - S&C Electric,-335600,06/23/2004,12/31/2028
T-105,53rd Street,2019,Current Obligations,RA - Smart Hotels,-800500,01/10/2001,12/31/2025
T-098,63rd/Pulaski,2019,Current Obligations,Program administration,-34300,05/17/2000,12/31/2024
T-105,53rd Street,2019,Current Obligations,RA - CJUF III Harper Court LLC,-2252600,01/10/2001,12/31/2025
T-099,Archer/Central,2019,Current Obligations,Program administration,-10300,05/17/2000,12/31/2024
T-135,Pratt/Ridge Industrial Park Conservation Area,2019,Current Obligations,Program administration,-10100,06/23/2004,12/31/2028
T-171,West Woodlawn,2019,Proposed Projects,Proposed redevelopment project #1,-2500000,05/12/2010,12/31/2034
T-178,Washington Park,2019,Proposed Projects,Lighting - Smart,-800000,10/08/2014,12/31/2038
T-176,107th/Halsted,2019,Proposed Projects,Proposed redevelopment project #1,-1430000,03/05/2014,12/31/2038
T-072,24th/Michigan,2019,Proposed Projects,Lighting - Smart,-800000,07/21/1999,07/21/2022
T-063,Canal/Congress,2019,Proposed Projects,Lighting - Smart,-800000,11/12/1998,12/31/2022
T-095,Midwest,2019,Proposed Projects,Proposed redevelopment project #1,-5000000,05/17/2000,12/31/2036
T-061,Bronzeville,2019,Proposed Projects,Proposed redevelopment project #2,-5000000,11/04/1998,12/31/2022
T-055,43rd/Cottage Grove,2019,Proposed Projects,Small Business Improvement Fund,-500000,07/08/1998,12/31/2022
T-173,Montrose/Clarendon,2019,Revenue,Property tax,204900,06/30/2010,12/31/2034
T-074,Clark Street and Ridge Avenue,2019,Proposed Projects,Proposed school project #3,-1000000,09/29/1999,09/29/2022
T-074,Clark Street and Ridge Avenue,2019,Proposed Projects,Proposed school project #2,-725000,09/29/1999,09/29/2022
T-074,Clark Street and Ridge Avenue,2019,Proposed Projects,Lighting - Smart,-400000,09/29/1999,09/29/2022
T-072,24th/Michigan,2019,Proposed Projects,Proposed redevelopment project #2,-8500000,07/21/1999,07/21/2022
T-055,43rd/Cottage Grove,2019,Proposed Projects,Proposed redevelopment project #1,-1800000,07/08/1998,12/31/2022
T-036,Read-Dunning,2019,Proposed Projects,Lighting - Smart,-800000,01/11/1991,12/31/2027
T-001,35th/Halsted,2019,Proposed Projects,Proposed redevelopment project #1,-3000000,01/14/1997,12/31/2021
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2019,Proposed Projects,Lighting - Smart,-800000,06/10/1998,12/31/2034
T-094,Chicago/Kingsbury,2019,Proposed Projects,Bridge - Grand Av - Phase III,-24666000,04/12/2000,12/31/2024
T-030,Near North,2019,Proposed Projects,Bridge - Division St - constr,-23404800,07/30/1997,07/30/2020
T-052,Kinzie Industrial Corridor,2019,Proposed Projects,CTA Green Line - Damen station - construction,-35000000,06/10/1998,12/31/2022
T-052,Kinzie Industrial Corridor,2019,Proposed Projects,Small Business Improvement Fund,-1000000,06/10/1998,12/31/2022
T-030,Near North,2019,Proposed Projects,Proposed redevelopment project #1,-8000000,07/30/1997,07/30/2020
T-073,111th Street/Kedzie Avenue Business District,2019,Proposed Projects,Lighting - Smart,-800000,09/29/1999,09/29/2022
T-073,111th Street/Kedzie Avenue Business District,2019,Proposed Projects,Streetscape project,-500000,09/29/1999,09/29/2022
T-066,Greater Southwest Industrial Corridor (East),2019,Proposed Projects,Lighting - Smart,-800000,03/10/1999,12/31/2023
T-033,North Branch (North),2019,Proposed Projects,Bridge - Webster St - Phase III,-5000000,07/02/1997,12/31/2021
T-087,Fullerton/Milwaukee,2019,Proposed Projects,Proposed redevelopment project #1,-1480000,02/16/2000,12/31/2024
T-023,Goose Island,2019,Proposed Projects,Bridge repairs - Halsted St Bridge,-1000000,07/10/1996,07/10/2019
T-086,Central West,2019,Proposed Projects,Proposed redevelopment project,-6200000,02/16/2000,12/31/2024
T-023,Goose Island,2019,Proposed Projects,Resurfacing - various locations,-1500000,07/10/1996,07/10/2019
T-056,79th Street Corridor,2019,Proposed Projects,Purchase Rehab Program - SF,-500000,07/08/1998,07/08/2021
T-091,Peterson/Pulaski,2019,Proposed Projects,Proposed redevelopment project #1,-600000,02/16/2000,12/31/2024
T-087,Fullerton/Milwaukee,2019,Proposed Projects,Proposed redevelopment project #2,-2000000,02/16/2000,12/31/2024
T-087,Fullerton/Milwaukee,2019,Proposed Projects,Small Business Improvement Fund,-500000,02/16/2000,12/31/2024
T-064,Northwest Industrial Corridor,2019,Proposed Projects,Lighting - Smart,-800000,12/02/1998,12/31/2022
T-029,Michigan/Cermak,2019,Proposed Projects,Lighting - Smart,-100000,09/13/1989,12/31/2025
T-053,Pilsen Industrial Corridor,2019,Proposed Projects,Lighting - Smart,-1000000,06/10/1998,12/31/2022
T-096,Cicero/Archer,2019,Proposed Projects,Proposed redevelopment project #1,-400000,05/17/2000,12/31/2024
T-053,Pilsen Industrial Corridor,2019,Proposed Projects,Sangamon Paseo,-3075000,06/10/1998,12/31/2022
T-034,North Branch (South),2019,Proposed Projects,Bridge repairs - Halsted St Bridge,-500000,02/05/1998,02/05/2021
T-023,Goose Island,2019,Proposed Projects,Lighting - Smart,-800000,07/10/1996,07/10/2019
T-107,Division/Homan,2019,Proposed Projects,Lighting - Smart,-800000,06/27/2001,12/31/2025
T-117,47th/Ashland,2019,Proposed Projects,Proposed redevelopment project #1,-722800,03/27/2002,12/31/2026
T-128,Commercial Avenue,2019,Proposed Projects,Proposed redevelopment project #1,-2000000,11/13/2002,12/31/2026
T-103,Lake Calumet Area Industrial,2019,Proposed Projects,Lighting - Smart,-800000,12/13/2000,12/31/2024
T-108,Humboldt Park Commercial,2019,Proposed Projects,Proposed redevelopment project #1,-2000000,06/27/2001,12/31/2025
T-155,79th/Vincennes,2019,Proposed Projects,Purchase Rehab Program - SF,-500000,09/27/2007,12/31/2031
T-134,Devon/Sheridan,2019,Proposed Projects,Lighting - Smart,-400000,03/31/2004,12/31/2028
T-156,Austin Commercial,2019,Proposed Projects,Purchase Rehab Program - MF,-1000000,09/27/2007,12/31/2031
T-147,LaSalle Central,2019,Proposed Projects,City Hall improvements,-10000000,11/15/2006,12/31/2030
T-147,LaSalle Central,2019,Proposed Projects,Proposed redevelopment project #1,-2500000,11/15/2006,12/31/2030
T-139,Ravenswood Corridor,2019,Proposed Projects,Lighting - Smart,-800000,03/09/2005,12/31/2029
T-143,63rd/Ashland,2019,Proposed Projects,Purchase Rehab Program - SF,-500000,03/29/2006,12/31/2030
T-133,83rd/Stewart,2019,Proposed Projects,Lighting - Smart,-500000,03/31/2004,12/31/2028
T-104,River West,2019,Proposed Projects,Grand Av viaduct - Phase III,-6950000,01/10/2001,12/31/2025
T-149,Stevenson/Brighton,2019,Proposed Projects,Lighting - Smart,-800000,04/11/2007,12/31/2031
T-109,Lawrence/Broadway,2019,Proposed Projects,Proposed redevelopment project #2,-1166700,06/27/2001,12/31/2025
T-109,Lawrence/Broadway,2019,Proposed Projects,Proposed redevelopment project #1,-1250000,06/27/2001,12/31/2025
T-145,73rd/University,2019,Proposed Projects,Lighting - Smart,-500000,09/13/2006,12/31/2030
T-099,Archer/Central,2019,Proposed Projects,Lighting - Smart,-800000,05/17/2000,12/31/2024
T-130,Edgewater/Ashland,2019,Proposed Projects,Lighting - Smart,-800000,10/01/2003,12/31/2027
T-152,Little Village Industrial Corridor,2019,Proposed Projects,Proposed redevelopment project #1,-716700,06/13/2007,12/31/2031
T-115,Chicago/Central Park,2019,Proposed Projects,Proposed redevelopment project #1,-2561200,02/27/2002,12/31/2026
T-115,Chicago/Central Park,2019,Proposed Projects,Purchase Rehab Program - MF,-1000000,02/27/2002,12/31/2026
T-104,River West,2019,Proposed Projects,Bridge replacement - Chicago Av / Chicago River N Branch,-15900000,01/10/2001,12/31/2025
T-171,West Woodlawn,2019,Proposed Transfers,From Woodlawn (Proposed redevelopment project),2500000,05/12/2010,12/31/2034
T-072,24th/Michigan,2019,Proposed Transfers,From River South (Proposed redevelopment project),8500000,07/21/1999,07/21/2022
T-056,79th Street Corridor,2019,Proposed Transfers,To 79th/Vincennes (Purchase Rehab Program),-500000,07/08/1998,07/08/2021
T-042,Sanitary Drainage and Ship Canal,2019,Proposed Transfers,To Little Village (Proposed redevelopment project),-716700,07/24/1991,12/31/2027
T-074,Clark Street and Ridge Avenue,2019,Proposed Transfers,To Devon/Sheridan (Lighting),-400000,09/29/1999,09/29/2022
T-037,River South,2019,Proposed Transfers,To 24th/Michigan (Proposed redevelopment project),-8500000,07/30/1997,07/30/2020
T-065,Woodlawn,2019,Proposed Transfers,To West Woodlawn (Proposed redevelopment project),-2500000,01/20/1999,01/20/2022
T-155,79th/Vincennes,2019,Proposed Transfers,From 79th Street Corridor (Purchase Rehab Program),500000,09/27/2007,12/31/2031
T-134,Devon/Sheridan,2019,Proposed Transfers,From Clark/Ridge (Lighting),400000,03/31/2004,12/31/2028
T-152,Little Village Industrial Corridor,2019,Proposed Transfers,From Sanitary & Ship Canal (Proposed redevelopment project),716700,06/13/2007,12/31/2031
T-172,Randolph/Wells,2019,Revenue,Property tax,492700,06/09/2010,12/31/2034
T-180,Red Purple Transit,2019,Revenue,Property tax,11210400,11/20/2016,12/31/2052
T-176,107th/Halsted,2019,Revenue,Property tax,904200,03/05/2014,12/31/2038
T-178,Washington Park,2019,Revenue,Property tax,501300,10/08/2014,12/31/2038
T-177,Foster/California,2019,Revenue,Property tax,54400,03/05/2014,12/31/2038
T-068,Roosevelt/Union,2019,Revenue,Property tax,5634900,05/12/1999,05/12/2022
T-079,35th and Wallace,2019,Revenue,Property tax,1036200,12/15/1999,12/31/2023
T-059,Calumet Avenue/Cermak Road,2019,Revenue,Property tax,12369300,07/29/1998,07/29/2021
T-033,North Branch (North),2019,Revenue,Property tax,5639200,07/02/1997,12/31/2021
T-083,West Irving Park,2019,Revenue,Property tax,1025500,01/12/2000,12/31/2024
T-066,Greater Southwest Industrial Corridor (East),2019,Revenue,Property tax,955600,03/10/1999,12/31/2023
T-082,Belmont/Cicero,2019,Revenue,Property tax,1059400,01/12/2000,12/31/2024
T-037,River South,2019,Revenue,Property tax,27073700,07/30/1997,07/30/2020
T-065,Woodlawn,2019,Revenue,Property tax,3218100,01/20/1999,01/20/2022
T-067,Archer Courts,2019,Revenue,Property tax,438600,05/12/1999,12/31/2023
T-070,Clark/Montrose,2019,Revenue,Property tax,3510600,07/07/1999,07/07/2022
T-030,Near North,2019,Revenue,Property tax,32124100,07/30/1997,07/30/2020
T-081,Belmont/Central,2019,Revenue,Property tax,3107800,01/12/2000,12/31/2024
T-057,Jefferson Park Business District,2019,Revenue,Property tax,1074700,09/09/1998,09/09/2021
T-093,South Chicago,2019,Revenue,Property tax,1394000,04/12/2000,12/31/2024
T-069,Pulaski Corridor,2019,Revenue,Property tax,3840100,06/09/1999,12/31/2023
T-005,60th and Western,2019,Revenue,Property Tax,94200,05/09/1996,05/09/2019
T-058,Portage Park,2019,Revenue,Property tax,2197900,09/09/1998,09/09/2021
T-060,71st/Stony Island,2019,Revenue,Property tax,2772800,10/07/1998,10/07/2021
T-036,Read-Dunning,2019,Revenue,Property tax,2845600,01/11/1991,12/31/2027
T-061,Bronzeville,2019,Revenue,Property tax,3740700,11/04/1998,12/31/2022
T-085,Western Avenue South,2019,Revenue,Property tax,8215800,01/12/2000,12/31/2024
T-035,North-Cicero,2019,Revenue,Property tax,1511600,07/30/1997,07/30/2020
T-021,Englewood Mall,2019,Revenue,Property tax,566500,11/29/1989,12/31/2025
T-095,Midwest,2019,Revenue,Property tax,16371700,05/17/2000,12/31/2036
T-063,Canal/Congress,2019,Revenue,Property tax,28367400,11/12/1998,12/31/2022
T-094,Chicago/Kingsbury,2019,Revenue,Property tax,26317400,04/12/2000,12/31/2024
T-072,24th/Michigan,2019,Revenue,Property tax,1863800,07/21/1999,07/21/2022
T-062,Roosevelt/Racine,2019,Revenue,Property tax,1774400,11/04/1998,12/31/2034
T-084,Western Avenue North,2019,Revenue,Property tax,4853700,01/12/2000,12/31/2024
T-071,Galewood/Armitage Industrial,2019,Revenue,Property tax,3281900,07/07/1999,12/31/2023
T-078,South Works Industrial,2019,Revenue,Property tax,59700,11/03/1999,12/31/2023
T-027,Irving/Cicero,2019,Revenue,Property tax,837900,06/10/1996,12/31/2020
T-064,Northwest Industrial Corridor,2019,Revenue,Property tax,7482100,12/02/1998,12/31/2022
T-009,95th and Western,2019,Revenue,Property tax,910500,07/13/1995,12/31/2019
T-029,Michigan/Cermak,2019,Revenue,Property tax,1640600,09/13/1989,12/31/2025
T-086,Central West,2019,Revenue,Property tax,22132000,02/16/2000,12/31/2024
T-034,North Branch (South),2019,Revenue,Property tax,9147200,02/05/1998,02/05/2021
T-092,Greater Southwest Industrial Corridor (West),2019,Revenue,Property tax,231500,04/12/2000,12/31/2024
T-024,Homan-Arthington,2019,Revenue,Property tax,664700,02/05/1998,02/05/2021
T-053,Pilsen Industrial Corridor,2019,Revenue,Property tax,14326600,06/10/1998,12/31/2022
T-096,Cicero/Archer,2019,Revenue,Property tax,716600,05/17/2000,12/31/2024
T-004,49th Street/St. Lawrence Avenue,2019,Revenue,Property tax,451600,01/10/1996,12/31/2020
T-045,Stockyards Southeast Quadrant Industrial,2019,Revenue,Property tax,1638100,02/26/1992,12/31/2028
T-054,Stony Island Avenue Commercial and Burnside Industrial Corridors,2019,Revenue,Property tax,3431800,06/10/1998,12/31/2034
T-043,Stockyards Annex,2019,Revenue,Property tax,1514200,12/11/1996,12/31/2020
T-091,Peterson/Pulaski,2019,Revenue,Property tax,1331500,02/16/2000,12/31/2024
T-048,Western/Ogden,2019,Revenue,Property tax,9486800,02/05/1998,02/05/2021
T-087,Fullerton/Milwaukee,2019,Revenue,Property tax,8034500,02/16/2000,12/31/2024
T-056,79th Street Corridor,2019,Revenue,Property tax,927100,07/08/1998,07/08/2021
T-055,43rd/Cottage Grove,2019,Revenue,Property tax,3081200,07/08/1998,12/31/2022
T-023,Goose Island,2019,Revenue,Property Tax,2509000,07/10/1996,07/10/2019
T-076,Devon/Western,2019,Revenue,Property tax,2376400,11/03/1999,12/31/2023
T-013,Bryn Mawr/Broadway,2019,Revenue,Property tax,2144300,12/11/1996,12/11/2019
T-042,Sanitary Drainage and Ship Canal,2019,Revenue,Property tax,648300,07/24/1991,12/31/2027
T-074,Clark Street and Ridge Avenue,2019,Revenue,Property tax,2238100,09/29/1999,09/29/2022
T-038,Roosevelt/Cicero,2019,Revenue,Property tax,3124100,02/05/1998,02/05/2021
T-077,Lincoln Avenue,2019,Revenue,Property tax,3202500,11/03/1999,12/31/2023
T-090,Peterson/Cicero,2019,Revenue,Property tax,478100,02/16/2000,12/31/2024
T-052,Kinzie Industrial Corridor,2019,Revenue,Property tax,33441300,06/10/1998,12/31/2022
T-089,Midway Industrial Corridor,2019,Revenue,Property tax,4024500,02/16/2000,12/31/2024
T-075,Madison/Austin Corridor,2019,Revenue,Property tax,2068800,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2019,Revenue,Property tax,706000,09/29/1999,09/29/2022
T-088,Lawrence/Kedzie,2019,Revenue,Property tax,6956600,02/16/2000,12/31/2024
T-001,35th/Halsted,2019,Revenue,Property tax,7488400,01/14/1997,12/31/2021
T-122,Drexel Boulevard,2019,Revenue,Property tax,382200,07/10/2002,12/31/2026
T-104,River West,2019,Revenue,Property tax,19018500,01/10/2001,12/31/2025
T-161,Ogden/Pulaski,2019,Revenue,Property tax,7700,04/09/2008,12/31/2032
T-100,Ohio/Wabash,2019,Revenue,Property tax,1883800,06/07/2000,12/31/2024
T-169,Ewing Avenue,2019,Revenue,Property tax,306400,03/10/2010,12/31/2034
T-097,51st/Archer,2019,Revenue,Property tax,1601100,05/17/2000,12/31/2024
T-146,Touhy/Western,2019,Revenue,Property tax,390100,09/13/2006,12/31/2030
T-134,Devon/Sheridan,2019,Revenue,Property tax,143900,03/31/2004,12/31/2028
T-133,83rd/Stewart,2019,Revenue,Property tax,1292100,03/31/2004,12/31/2028
T-167,Avondale,2019,Revenue,Property tax,23900,07/29/2009,12/31/2033
T-098,63rd/Pulaski,2019,Revenue,Property tax,1733200,05/17/2000,12/31/2024
T-099,Archer/Central,2019,Revenue,Property tax,401200,05/17/2000,12/31/2024
T-121,47th/Halsted,2019,Revenue,Property tax,3321300,05/29/2002,12/31/2026
T-118,47th/King Drive,2019,Revenue,Property tax,7597100,03/27/2002,12/31/2026
T-119,Lakefront,2019,Revenue,Property tax,390200,03/27/2002,12/31/2026
T-147,LaSalle Central,2019,Revenue,Property tax,45775600,11/15/2006,12/31/2030
T-131,35th/State,2019,Revenue,Property tax,2538500,01/14/2004,12/31/2028
T-145,73rd/University,2019,Revenue,Property tax,375800,09/13/2006,12/31/2030
T-166,North Pullman,2019,Revenue,Property tax,1183000,06/30/2009,12/31/2033
T-101,Jefferson/Roosevelt,2019,Revenue,Property tax,7111000,08/30/2000,12/31/2024
T-102,Montclare,2019,Revenue,Property tax,303600,08/30/2000,12/31/2024
T-136,47th/State,2019,Revenue,Property tax,1499300,07/21/2004,12/31/2028
T-130,Edgewater/Ashland,2019,Revenue,Property tax,1509900,10/01/2003,12/31/2027
T-163,Archer/Western,2019,Revenue,Property tax,22800,02/11/2009,12/31/2033
T-103,Lake Calumet Area Industrial,2019,Revenue,Property tax,3163200,12/13/2000,12/31/2024
T-129,Diversey/Narragansett,2019,Revenue,Property tax,2218100,02/05/2003,12/31/2027
T-135,Pratt/Ridge Industrial Park Conservation Area,2019,Revenue,Property tax,388000,06/23/2004,12/31/2028
T-142,Western Avenue/Rock Island,2019,Revenue,Property tax,937200,02/08/2006,12/31/2030
T-108,Humboldt Park Commercial,2019,Revenue,Property tax,3640300,06/27/2001,12/31/2025
T-144,Harrison/Central,2019,Revenue,Property tax,392900,07/26/2006,12/31/2030
T-109,Lawrence/Broadway,2019,Revenue,Property tax,3890100,06/27/2001,12/31/2025
T-141,26th and King Drive,2019,Revenue,Property tax,827600,01/11/2006,12/31/2030
T-156,Austin Commercial,2019,Revenue,Property tax,682100,09/27/2007,12/31/2031
T-139,Ravenswood Corridor,2019,Revenue,Property tax,1629700,03/09/2005,12/31/2029
T-116,Lawrence/Pulaski,2019,Revenue,Property tax,1452900,02/27/2002,12/31/2026
T-107,Division/Homan,2019,Revenue,Property tax,1267400,06/27/2001,12/31/2025
T-155,79th/Vincennes,2019,Revenue,Property tax,148500,09/27/2007,12/31/2031
T-157,Hollywood/Sheridan,2019,Revenue,Property tax,12000,11/07/2007,12/31/2031
T-111,105th/Vincennes,2019,Revenue,Property tax,1396900,10/03/2001,12/31/2025
T-149,Stevenson/Brighton,2019,Revenue,Property tax,2399700,04/11/2007,12/31/2031
T-124,67th/Cicero,2019,Revenue,Property tax,259000,10/02/2002,12/31/2026
T-153,Elston/Armstrong Industrial Corridor,2019,Revenue,Property tax,503300,07/19/2007,12/31/2031
T-112,79th Street/Southwest Highway,2019,Revenue,Property tax,1357900,10/03/2001,12/31/2025
T-113,Roseland/Michigan,2019,Revenue,Property tax,476000,01/16/2002,12/31/2026
T-114,119th and Halsted,2019,Revenue,Property tax,1405500,02/06/2002,12/31/2026
T-151,Armitage/Pulaski,2019,Revenue,Property tax,162200,06/13/2007,12/31/2031
T-115,Chicago/Central Park,2019,Revenue,Property tax,6065200,02/27/2002,12/31/2026
T-143,63rd/Ashland,2019,Revenue,Property tax,1128800,03/29/2006,12/31/2030
T-125,119th/I-57,2019,Revenue,Property tax,4249500,11/06/2002,12/31/2026
T-150,Addison South,2019,Revenue,Property tax,3979300,05/09/2007,12/31/2031
T-110,Wilson Yard,2019,Revenue,Property tax,7965200,06/27/2001,12/31/2025
T-158,Weed/Freemont,2019,Revenue,Property tax,799400,01/08/2008,12/31/2032
T-123,Avalon Park/South Shore,2019,Revenue,Property tax,429300,07/31/2002,12/31/2026
T-128,Commercial Avenue,2019,Revenue,Property tax,1170200,11/13/2002,12/31/2026
T-105,53rd Street,2019,Revenue,Property tax,4072800,01/10/2001,12/31/2025
T-106,Englewood Neighborhood,2019,Revenue,Property tax,4995700,06/27/2001,12/31/2025
T-127,87th/Cottage Grove,2019,Revenue,Property tax,1902400,11/13/2002,12/31/2026
T-117,47th/Ashland,2019,Revenue,Property tax,2577900,03/27/2002,12/31/2026
T-140,79th/Cicero,2019,Revenue,Property tax,547200,06/08/2005,12/31/2029
T-126,Madden/Wells,2019,Revenue,Property tax,1282000,11/06/2002,12/31/2026
T-177,Foster/California,2019,Transfers Between TIF Districts,From Western Ave. North (RA - Swedish Covenant Hospital),1100000,03/05/2014,12/31/2038
T-178,Washington Park,2019,Transfers Between TIF Districts,From Englewood Neighborhood (RA - Life Center Artists Residences),3175000,10/08/2014,12/31/2038
T-063,Canal/Congress,2019,Transfers Between TIF Districts,To River South (CPS - South Loop ES),-2000000,11/12/1998,12/31/2022
T-063,Canal/Congress,2019,Transfers Between TIF Districts,To River South (Wells St - Roosevelt to Archer),-14000000,11/12/1998,12/31/2022
T-095,Midwest,2019,Transfers Between TIF Districts,To Madison/Austin (MSAC DS - Austin HS & DePriest Elementary),-1630600,05/17/2000,12/31/2036
T-095,Midwest,2019,Transfers Between TIF Districts,From Western/Ogden (RA - Mt Sinai Hospital),1500000,05/17/2000,12/31/2036
T-077,Lincoln Avenue,2019,Transfers Between TIF Districts,From Western Ave. North (MSAC DS - Mather HS),1922300,11/03/1999,12/31/2023
T-095,Midwest,2019,Transfers Between TIF Districts,To Chicago/Central Park (MSAC DS - Raby Horticultural),-1219500,05/17/2000,12/31/2036
T-095,Midwest,2019,Transfers Between TIF Districts,To Chicago/Central Park (MSAC DS - Westinghouse),-2281400,05/17/2000,12/31/2036
T-037,River South,2019,Transfers Between TIF Districts,From Canal/Congress (CPS - South Loop ES),2000000,07/30/1997,07/30/2020
T-048,Western/Ogden,2019,Transfers Between TIF Districts,To Roosevelt/Racine (RA - 1340 W Taylor Apts),-2000000,02/05/1998,02/05/2021
T-069,Pulaski Corridor,2019,Transfers Between TIF Districts,To Chicago/Central Park (MSAC DS - Westinghouse),-1070800,06/09/1999,12/31/2023
T-089,Midway Industrial Corridor,2019,Transfers Between TIF Districts,To Stevenson/Brighton (CPS - Brighton Park II),-300000,02/16/2000,12/31/2024
T-095,Midwest,2029,Revenue,Property tax,19167800,05/17/2000,12/31/2036
T-089,Midway Industrial Corridor,2019,Transfers Between TIF Districts,To 51st/Archer (MSAC DS - Hernandez MS),-3457600,02/16/2000,12/31/2024
T-081,Belmont/Central,2019,Transfers Between TIF Districts,To Galewood/Armitage (MSAC DS - Prieto Elementary),-2401200,01/12/2000,12/31/2024
T-052,Kinzie Industrial Corridor,2019,Transfers Between TIF Districts,To Chicago/Central Park (MSAC DS - Westinghouse),-6152500,06/10/1998,12/31/2022
T-075,Madison/Austin Corridor,2019,Transfers Between TIF Districts,To Harrison/Central (RA - Loretto Hospital),-144000,09/29/1999,12/31/2023
T-064,Northwest Industrial Corridor,2019,Transfers Between TIF Districts,To Chicago/Central Park (MSAC DS - Westinghouse),-1026000,12/02/1998,12/31/2022
T-075,Madison/Austin Corridor,2019,Transfers Between TIF Districts,From Midwest (MSAC DS - Austin HS & DePriest Elementary),1630600,09/29/1999,12/31/2023
T-084,Western Avenue North,2019,Transfers Between TIF Districts,To Lincoln Ave. (MSAC DS - Mather HS),-1922300,01/12/2000,12/31/2024
T-048,Western/Ogden,2019,Transfers Between TIF Districts,To Midwest (RA - Mt Sinai Hospital),-1500000,02/05/1998,02/05/2021
T-065,Woodlawn,2019,Transfers Between TIF Districts,To 71st/Stony Island (MSAC DS - South Shore HS),-1993700,01/20/1999,01/20/2022
T-009,95th and Western,2019,Transfers Between TIF Districts,To Western/Rock Island (Morgan Park Sports Center),-1200000,07/13/1995,12/31/2019
T-064,Northwest Industrial Corridor,2019,Transfers Between TIF Districts,To Madison/Austin (MSAC DS - Austin HS & DePriest Elementary),-3655300,12/02/1998,12/31/2022
T-076,Devon/Western,2019,Transfers Between TIF Districts,To Touhy/Western (MSAC DS - West Ridge Elementary),-2263500,11/03/1999,12/31/2023
T-071,Galewood/Armitage Industrial,2019,Transfers Between TIF Districts,From Belmont/Central (MSAC DS - Prieto Elementary),2401200,07/07/1999,12/31/2023
T-084,Western Avenue North,2019,Transfers Between TIF Districts,To Foster/California (RA - Swedish Covenant Hospital),-1100000,01/12/2000,12/31/2024
T-075,Madison/Austin Corridor,2019,Transfers Between TIF Districts,From Northwest Ind. Corr. (MSAC DS - Austin HS & DePriest Elementary),3655300,09/29/1999,12/31/2023
T-073,111th Street/Kedzie Avenue Business District,2019,Transfers Between TIF Districts,To Western/Rock Island (Morgan Park Sports Center),-500000,09/29/1999,09/29/2022
T-038,Roosevelt/Cicero,2019,Transfers Between TIF Districts,To Harrison/Central (RA - Loretto Hospital),-144000,02/05/1998,02/05/2021
T-060,71st/Stony Island,2019,Transfers Between TIF Districts,From Woodlawn (MSAC DS - South Shore HS),1993700,10/07/1998,10/07/2021
T-062,Roosevelt/Racine,2019,Transfers Between TIF Districts,From Western/Ogden (RA - 1340 W Taylor Apts),2000000,11/04/1998,12/31/2034
T-037,River South,2019,Transfers Between TIF Districts,From Canal/Congress (Wells St - Roosevelt to Archer),14000000,07/30/1997,07/30/2020
